,Unnamed: 0,votes,helpfulness,time,reviews,cleanReviews,cleanReviewsBi
0,0,False,541,25867,"Hackers can force shit into your inventory, break your save and permanently ban you from online servers.

What a fucking embarrassment.",hackers can force shit into your inventory  break your save and permanently ban you from online servers   what a fucking embarrassment ,hackersforce forceshit shitinventory inventorybreak breaksave savepermanently permanentlyban banonline onlineservers serversfuck fuckembarrassment
1,1,False,51,19520,"Here's how your experience with DS3 will go if you buy it:

You'll get invaded by a hacker that injects invalid items into your inventory and immediately kills you.
The save system will trigger since you died, and the game's servers will detect an invalid item in your inventory.
You'll then get banned a week later from online play because a cheater messed up your save file.
And as of today, bandai namco has stopped allowing DS3 to be family shared, so if this happens to you, there is nothing you can do to fix your game.

Do you want to be unable to play a game you played 60 bucks for online?  Then buy dark souls 3 right now!",here s how your experience with ds  will go if you buy it   you ll get invaded by a hacker that injects invalid items into your inventory and immediately kills you  the save system will trigger since you died  and the game s servers will detect an invalid item in your inventory  you ll then get banned a week later from online play because a cheater messed up your save file  and as of today  bandai namco has stopped allowing ds  to be family shared  so if this happens to you  there is nothing you can do to fix your game   do you want to be unable to play a game you played    bucks for online   then buy dark souls   right now ,experienceds dsbuy buyinvade invadehacker hackerinject injectinvalid invaliditems itemsinventory inventorykill killsave savesystem systemtrigger triggerdie dieservers serversdetect detectinvalid invaliditem iteminventory inventoryban banweek weekonline onlinecheater cheatermess messsave savefile filetoday todaybandai bandainamco namcods dsfamily familyshare sharehappen happenunable unablebuck buckonline onlinebuy
2,2,False,42,15518,Great game with terrible online.Full of hackers and company didn't do anything to prevent that.,great game with terrible online full of hackers and company didn t do anything to prevent that ,greatterrible terribleonline onlinefull fullhackers hackerscompany companyprevent
3,3,False,35,13618,"I got banned because someone else was hacking and injected items into my inventory, they say if it happens again I'll be perma'd. Yeah thanks, lemme just not get invaded or summoned ever. Don't make backups either, that's a bannable offense.

thanks BAMCO for being the shitstain on my favorite game

Edit: They just removed family sharing, the only way for people like me to play the game online again. Thanks guys, really keeping hackers out of our game.",i got banned because someone else was hacking and injected items into my inventory  they say if it happens again i ll be perma d  yeah thanks  lemme just not get invaded or summoned ever  don t make backups either  that s a bannable offense   thanks bamco for being the shitstain on my favorite game  edit  they just removed family sharing  the only way for people like me to play the game online again  thanks guys  really keeping hackers out of our game ,banhack hackinject injectitems itemsinventory inventoryhappen happenperma permayeah yeahlemme lemmeinvade invadesummon summonbackups backupsbannable bannableoffense offensebamco bamcoshitstain shitstainfavorite favoriteedit editremove removefamily familyshare sharepeople peopleonline onlineguy guyhackers
4,4,False,52,16343,Fun game but Bandai-Namco doesn't understand what a PC is.,fun game but bandai namco doesn t understand what a pc is ,funbandai bandainamco namcounderstand understandpc
5,5,False,49,26451,"Fromsoft loves to ban people regardless of whether a hacker gave you cheated items or you did it yourself. The only way to get un-banned is to purchase a new copy of the game as of today since they've now disabled family shared accounts. If you're banned there is zero way to appeal it regardless of the fault. Instead of having a better anti-cheat system they just absolutely railed the remaining (small) community of players since there is no way to prevent a cheater from destroying your game file which will result in YOUR ban while all they have to do is remove their save data at the end of a session to prevent action against them. This only harms innocent players while cheaters have known how to get around the garbage anti-cheat since the game released.


Was fun while it lasted i guess.",fromsoft loves to ban people regardless of whether a hacker gave you cheated items or you did it yourself  the only way to get un banned is to purchase a new copy of the game as of today since they ve now disabled family shared accounts  if you re banned there is zero way to appeal it regardless of the fault  instead of having a better anti cheat system they just absolutely railed the remaining  small  community of players since there is no way to prevent a cheater from destroying your game file which will result in your ban while all they have to do is remove their save data at the end of a session to prevent action against them  this only harms innocent players while cheaters have known how to get around the garbage anti cheat since the game released    was fun while it lasted i guess ,fromsoftlove loveban banpeople peoplehacker hackercheat cheatitems itemsban banpurchase purchasecopy copytoday todaydisable disablefamily familyshare shareaccount accountban banappeal appealfault faultanti anticheat cheatsystem systemabsolutely absolutelyrail railremain remainsmall smallcommunity communityplayers playersprevent preventcheater cheaterdestroy destroyfile fileresult resultban banremove removesave savedata datasession sessionprevent preventaction actionharm harminnocent innocentplayers playerscheaters cheatersgarbage garbageanti anticheat cheatrelease releasefun funguess
6,6,False,42,5050,"Why did they remove family sharing? Now if you get banned due to a hacker, you have no way of continuing to play unless you buy another copy with a different account? The hell are you smoking? A friend of mine got banned due to a hacker invading him and injecting him with illegal items, and he had to play using a family share account. And now that account is gone because you disabled family share? Is this your half assed way of dealing with hackers?",why did they remove family sharing  now if you get banned due to a hacker  you have no way of continuing to play unless you buy another copy with a different account  the hell are you smoking  a friend of mine got banned due to a hacker invading him and injecting him with illegal items  and he had to play using a family share account  and now that account is gone because you disabled family share  is this your half assed way of dealing with hackers ,removefamily familyshare shareban banhacker hackercontinue continuebuy buycopy copyaccount accounthell hellsmoke smokefriend friendmine mineban banhacker hackerinvade invadeinject injectillegal illegalitems itemsfamily familyshare shareaccount accountaccount accountdisable disablefamily familyshare sharehalf halfassed asseddeal dealhackers
7,7,False,23,2550,"can we get some anti cheat please ? i was enjoy a fine duel but then someone invaded and hit me with dagger that granted me immortality and 99 in everything -_- now just wait for the ban on my acc instead of his 
",can we get some anti cheat please   i was enjoy a fine duel but then someone invaded and hit me with dagger that granted me immortality and    in everything     now just wait for the ban on my acc instead of his  ,anticheat cheatenjoy enjoyfine fineduel duelinvade invadehit hitdagger daggergrant grantimmortality immortalitywait waitban banacc
8,8,False,29,6123,"Welp 1st negative review I think. Great game. Everything is top tier. Easily the most challenge I've ever experienced in a video game but From, the Devs, are trying to destroy the game.

The anti-cheat will ban innocent players because cheaters injected items into your game. Hundreds of hours wasted because From is too lazy. If you intent to play the game normally and use online aspects you are forced to manually save your files, download 3rd party programs that apparently bypass the broken anti-cheat TO PROTECT YOU from wrongfully getting banned and even then you might still get penalized because another player decided to cheat in your game. Unacceptable.

They also recently got rid of Family Share which helped players who were wrongfully banned and lost their characters to still play.

Avoid this until something serious is done to properly address the issues mentioned.",welp  st negative review i think  great game  everything is top tier  easily the most challenge i ve ever experienced in a video game but from  the devs  are trying to destroy the game   the anti cheat will ban innocent players because cheaters injected items into your game  hundreds of hours wasted because from is too lazy  if you intent to play the game normally and use online aspects you are forced to manually save your files  download  rd party programs that apparently bypass the broken anti cheat to protect you from wrongfully getting banned and even then you might still get penalized because another player decided to cheat in your game  unacceptable   they also recently got rid of family share which helped players who were wrongfully banned and lost their characters to still play   avoid this until something serious is done to properly address the issues mentioned ,welpst stnegative negativereview reviewgreat greattop toptier tiereasily easilychallenge challengeexperience experiencevideo videodevs devsdestroy destroyanti anticheat cheatban baninnocent innocentplayers playerscheaters cheatersinject injectitems itemshundreds hundredshours hourswaste wastelazy lazyintent intentonline onlineaspects aspectsforce forcemanually manuallysave savefile filedownload downloadparty partyprogram programbypass bypassbreak breakanti anticheat cheatprotect protectwrongfully wrongfullyban banpenalize penalizeplayer playerdecide decidecheat cheatunacceptable unacceptablerid ridfamily familyshare shareplayers playerswrongfully wrongfullyban banlose losecharacter characteravoid avoidproperly properlyaddress addressissue issuemention
9,9,False,22,12725,"Great game just a real shame that hackers can force hacked items into your inventory thus getting you banned with no warning and no hope of getting it undone. Now this was already an issue and has been pretty much the whole lifetime of the game but recently Fromsoft/Namco Bandai removed the family and friends sharing option which was the only real defence you had for not getting your legit copy banned by sharing the game and playing it through a separate account so when/if you get banned though a third party acting maliciously you could still play the game as intended. (though it would normally cost you the current save as well up until your last manual backup assuming you though far enough ahead to manually back up your saves for an online game . . . )

This only really harms legit players as hackers were already getting around the item checks and ban waves anyway and have been for a long time.

Also, this means that anyone using legit mods (as in mods not made for cheating in PvP but changing the game itself adding more challenge e.c.t) now has a choice of playing the vanilla game as intended or using mods and catching a ban for doing so.

This was a poor choice and really makes me think less of Fromsoft/Namco Bandai and makes me wonder if they will pull stuff like this further down the line with things like Elden ring.
",great game just a real shame that hackers can force hacked items into your inventory thus getting you banned with no warning and no hope of getting it undone  now this was already an issue and has been pretty much the whole lifetime of the game but recently fromsoft namco bandai removed the family and friends sharing option which was the only real defence you had for not getting your legit copy banned by sharing the game and playing it through a separate account so when if you get banned though a third party acting maliciously you could still play the game as intended   though it would normally cost you the current save as well up until your last manual backup assuming you though far enough ahead to manually back up your saves for an online game          this only really harms legit players as hackers were already getting around the item checks and ban waves anyway and have been for a long time   also  this means that anyone using legit mods  as in mods not made for cheating in pvp but changing the game itself adding more challenge e c t  now has a choice of playing the vanilla game as intended or using mods and catching a ban for doing so   this was a poor choice and really makes me think less of fromsoft namco bandai and makes me wonder if they will pull stuff like this further down the line with things like elden ring  ,greatreal realshame shamehackers hackersforce forcehack hackitems itemsinventory inventoryban banwarn warnhope hopeundo undoissue issuepretty prettylifetime lifetimefromsoft fromsoftnamco namcobandai bandairemove removefamily familyfriends friendsshare shareoption optionreal realdefence defencelegit legitcopy copyban banshare shareseparate separateaccount accountban banparty partymaliciously maliciouslyintend intendcost costcurrent currentsave savemanual manualbackup backupassume assumeahead aheadmanually manuallysave saveonline onlineharm harmlegit legitplayers playershackers hackersitem itemcheck checkban banwave wavelong longtime timelegit legitmods modsmods modscheat cheatpvp pvpchange changeadd addchallenge challengechoice choicevanilla vanillaintend intendmods modscatch catchban banpoor poorchoice choicefromsoft fromsoftnamco namcobandai bandaipull pullstuff stuffthings thingselden eldenring
