epoch,negative_sampling_loss,dirichlet_prior_loss
1,108.440,-39144.500
2,74.870,-39237.105
3,46.787,-39363.820
4,38.820,-39535.227
5,37.317,-39761.172
6,36.856,-40049.883
7,36.574,-40406.387
8,36.331,-40831.637
9,36.121,-41323.836
10,35.918,-41878.098
11,35.741,-42489.062
12,35.571,-43150.316
13,35.410,-43856.008
14,35.261,-44601.027
15,35.112,-45380.672
16,34.978,-46191.809
17,34.848,-47030.969
18,34.728,-47896.418
19,34.617,-48785.855
20,34.503,-49698.824
21,34.402,-50634.305
22,34.300,-51591.965
23,34.216,-52571.367
24,34.124,-53572.812
25,34.032,-54596.387
26,33.955,-55641.922
27,33.877,-56710.160
28,33.804,-57801.273
29,33.739,-58915.527
30,33.662,-60053.348
31,33.594,-61214.141
32,33.533,-62398.859
33,33.470,-63607.289
34,33.413,-64839.449
35,33.351,-66095.195
36,33.293,-67373.555
37,33.239,-68675.391
38,33.176,-69999.000
39,33.126,-71345.680
40,33.075,-72713.500
41,33.023,-74102.555
42,32.975,-75512.148
43,32.925,-76942.414
44,32.878,-78391.305
45,32.831,-79859.398
46,32.787,-81344.945
47,32.755,-82848.914
48,32.706,-84369.703
49,32.669,-85906.312
50,32.628,-87459.125
